"","team","runsScored","runsAllowed","W","L","ratioWL","ptEstimate","truePrecWL","absError","year"
"1","Arizona_Diamondbacks",746,761,84,78,0.98,0.491,0.519,0.028,2023
"2","Atlanta_Braves",947,716,104,58,1.323,0.623,0.642,0.019,2023
"3","Baltimore_Orioles",807,678,101,61,1.19,0.578,0.623,0.045,2023
"4","Boston_Red_Sox",772,776,78,84,0.995,0.498,0.481,0.017,2023
"5","Chicago_Cubs",819,723,83,79,1.133,0.556,0.512,0.044,2023
"6","Chicago_White_Sox",641,841,61,101,0.762,0.38,0.377,0.003,2023
"7","Cincinnati_Reds",783,821,82,80,0.954,0.479,0.506,0.027,2023
"8","Cleveland_Guardians",662,697,76,86,0.95,0.477,0.469,0.008,2023
"9","Colorado_Rockies",721,957,59,103,0.753,0.375,0.364,0.011,2023
"10","Detroit_Tigers",661,740,78,84,0.893,0.449,0.481,0.032,2023
"11","Houston_Astros",827,698,90,72,1.185,0.576,0.556,0.02,2023
"12","Kansas_City_Royals",676,859,56,106,0.787,0.394,0.346,0.048,2023
"13","Los_Angeles_Angels",739,829,73,89,0.891,0.448,0.451,0.003,2023
"14","Los_Angeles_Dodgers",906,699,100,62,1.296,0.615,0.617,0.002,2023
"15","Miami_Marlins",666,723,84,78,0.921,0.463,0.519,0.056,2023
"16","Milwaukee_Brewers",728,647,92,70,1.125,0.553,0.568,0.015,2023
"17","Minnesota_Twins",778,659,87,75,1.181,0.574,0.537,0.037,2023
"18","New_York_Mets",717,729,75,87,0.984,0.493,0.463,0.03,2023
"19","New_York_Yankees",673,698,82,80,0.964,0.484,0.506,0.022,2023
"20","Oakland_Athletics",585,924,50,112,0.633,0.305,0.309,0.004,2023
"21","Philadelphia_Phillies",796,715,90,72,1.113,0.548,0.556,0.008,2023
"22","Pittsburgh_Pirates",692,790,76,86,0.876,0.441,0.469,0.028,2023
"23","San_Diego_Padres",752,648,82,80,1.16,0.567,0.506,0.061,2023
"24","Seattle_Mariners",758,659,88,74,1.15,0.563,0.543,0.02,2023
"25","San_Francisco_Giants",674,719,79,83,0.937,0.471,0.488,0.017,2023
"26","St._Louis_Cardinals",719,829,71,91,0.867,0.436,0.438,0.002,2023
"27","Tampa_Bay_Rays",860,665,99,63,1.293,0.614,0.611,0.003,2023
"28","Texas_Rangers",881,716,90,72,1.23,0.592,0.556,0.036,2023
"29","Toronto_Blue_Jays",746,671,89,73,1.112,0.548,0.549,0.001,2023
"30","Washington_Nationals",700,845,71,91,0.828,0.416,0.438,0.022,2023
